Customer ID,Customer Name,Shipping Address,City,Customer Type,Location,Account Status,Longitude,Latitude
2,SEVENTEENTH STREET LIQUORS,2001 E 17TH AVE,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9632766,39.743431
4,24 CARROT BISTRO,578 BRIGGS ST,Erie,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0476821,40.0499246
6,287 CRAFT SPIRITS,5846 S COLLEGE AVE,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0765196,40.5047865
8,3 ROCK LIQUORS,6160 FIRESTONE BLVD,Firestone,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9387664,40.1594266
9,3-S LIQUORS,8031 WADSWORTH BLVD,Arvada,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0838725,39.8434311
10,503W,503 W COLORADO AVE,Colorado Springs,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8346543,38.8325323
12,80/TWENTY WINES,415 N GREENWOOD ST #C,Pueblo,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.6136188,38.2711831
13,801 CHOPHOUSE,3000 E 1ST AVE,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9566822,39.7169025
15,ABEJAS BISTRO,807 13TH ST,Golden,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2208472,39.7541777
17,ABSOLUTE LIQUOR MART,1611 W 84TH AVE,Federal Heights,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0077563,39.8495219
18,ACE GILLETT'S,259 S COLLEGE AVE,Fort Collins,On Premise,Colorado,<b class=pill-green>Active</b>,-105.07757,40.584474
21,ACQUOLINA TRATTORIA & PIZZERIA,415 E MAIN ST,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8188978,39.190271
23,AGGIE DISCOUNT LIQUOR,429 CANYON AVE,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0858364,40.58201469999999
26,ALAMEDA LIQUOR MART,9660 E ALAMDEA AVE #103,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8762016,39.7082103
